rating,review_description,hotel_UUID,review_UUID
94.0,Zentraler geht‘s nicht. Nettes kleines Hotel mit erstklassigem Service.,57bb73a2-7161-4c8d-9fe9-3a122e2ca6d2,86018d5f-d85d-4bd1-9a89-755d97f54d5c
84.0,Nicht zu empfehlen  keine vier Sterne wert  wir werden dort nicht mehr nächtigen. Extrem enge Gänge  häufig mit Wäschesäcken verstellt  schwergängige Feuertüren erschweren es zum Zimmer zu kommen. Das Zimmer an und für sich ist ok  obwohl es nur teilweise modernisiert wurde und somit sehr zusammengestückelt aussieht. Das Zimmer ist klein. Bad und Toilette sind nicht renoviert  alt  muffig  da ein Feuchtigkeitsproblem besteht (es wird mit Vanillespray gesprüht). Die Badewanne ist extrem rutschig. Kein vernünftiges Licht im Bad  kein Vergrößerungsspiegel. Die Toilette ist ein Kabuff. Empfangspersonal überfordert  kommt mit Anfragen nicht zurecht. Nur der Housekeeping / Putzpersonal ist schnell und ordentlich.,ec14315e-79df-4893-a6fc-2e8454e37a2c,aacdbaf7-02cf-4574-9fa7-9bd869ebbbd9
86.0,2 Metrostationen innerhalb von 5 Gehminuten erreichbar. Qualität des Frühstücks gut  aber für 20 Eurp pro Person sehr wenig Auswahl. Leider bei der Buchung nicht angegeben  das der Hund pro Übernachtung extra kostet Reinigungskosten.,650d8aca-54c0-49af-aa17-fa678b43611d,5f53801d-eb31-4c8b-87e3-616b2446030b
82.0,Preis/Leistung völlig OK  für ein paar Nächte lässt es sich hier gut aushalten. Metro ist auch gleich ums Eck.,a3d1995c-40c1-48f3-948e-b46a9f5da4ee,9a54c897-22e6-45bb-9735-0230566391df
70.0,The Picture in the Homepage was different them live,80f0e5d3-9766-4e93-a66f-767d3f7679d7,fb5e0b42-5e1e-44bb-83bc-88ab22ac4a64
90.0,Hotel sehr gut erreichbar  ruhig  sauber. Sehr freundliches  hilfsbereites  aufmerksames Personal.,c9b98d40-e7ce-41d7-a012-0c5ee1c013af,3fc833ac-d03b-4639-9e1d-7d901a0aedf9
88.0,Super Lage direkt am Gare de l'est für die Zuganreise aus Deutschland. Damit auch hervorragende Anbindung an die Metro.,0a963226-0df9-4c7a-9cd0-0a43e45d3f54,593ecb74-1f3c-4f19-aea7-a4cfe22ece53
82.0,Right in the heart of Paris  with a Metro Station just next to it!,e1da09eb-7b44-408d-b250-f32da551dbf9,8154a39e-0c62-438d-8151-3f1a3a5689c4
82.0,Hotel war ok zum schlafen reicht es aber mehr nicht. War sehr klein und das sauberste auch nicht. Bettwäsche war teilweise zerrissen. Frühstück war für das Geld auch nicht angemessen.,71ee0934-1d6c-44c3-a2e9-4acab0008c64,f7eefd89-ca91-4458-97ab-c26a8e3e4f2b
94.0,Sehr schööön und sehr nettes Personal😊,24f0821f-1737-4644-989a-582f30a14f61,d3026556-6a37-45ff-b857-61f75d8a00cf
80.0,Lage top. Sehr viele  abwechslungsreiche Restaurants. Tolle  kleine Geschäfte. In nächster Nähe zum Hotel viele Frühstücksmöglichkeiten. Sehr freundliches und hilfsbereites Personal.,ed3cdfa4-d257-499a-9410-d90571159b8a,6eb8fc7e-9ff2-40df-8875-7ee923ca4ba8
82.0,Die Lage des Hotels ist direkt an der Metrostation Abbesses. Das ist super  jedoch ist es im Sommer in den Zimmern sehr heiß  nicht klimatisiert und nachts draußen sehr laut. Du darfst nichts im Zimmer vergessen und ins Ausland zurück fahren. Ein nachsenden der Sachen ist unmöglich! Ich musste also nochmal dorthin fahren und die Sachen abholen. Sehr ärgerlich!,bc7b2385-e7fc-47d6-9976-69e8ae4bce70,f214bf5b-c6bc-4736-a101-7fa57c659c68
84.0,Der gute Anschluss zur Metro,2b301109-084f-411f-80f1-98f50948b41c,0fe4547b-8030-40f3-9991-fffacf030fe3
94.0,Ein super süsses  kleines und zentral gelegenes Hotel. Trotz der Lage direkt an der Strasse war es nachts überraschend ruhig. Die Mitarbeiter sind super freundlich  hilfsbereit und immer zu einer Unterhaltung aufgelegt - ich habe mich sehr wohl gefühlt.,6eb45111-a49d-4661-ab92-7478235ed670,f8f39b2c-a059-4dd0-9037-e9e87de4f193
80.0,Super Lage,346ea3b4-c419-43c9-aaab-30d934e1df9a,c3354c6e-c819-433a-8af5-6fb6aeff11ba
84.0,Die Lage des Hotels ist ein Traum. Die Place du Tertre und Sacré-Coeur sind zu Fuß auf 5min erreichbar. Wir hatten ein Zimmer ganz oben im 5. Stock  die Aussicht war gigantisch. Begeistert hat uns aber vor allem die Freundlichkeit des Personals. Meine Tochter hatte leider nachts gesundheitliche Probleme und wir waren auf Hilfe angewiesen. Sogar nachts um 3 Uhr war die Rezeption besetzt und unser Problem konnte auf sehr freundliche und zuvorkommende Art und Weise gelöst werden. Nochmals vielen Dank dafür! Wir kommen sicher wieder!,48c73e40-38a6-427f-b99d-55451f876fd4,8f6d9e7b-1d83-43d9-8b49-a3b81501a0cd
90.0,Architektur of the 1920's. Very nice ambiente.,3c595962-d03b-42f3-8f96-a89691b1b045,eacb7f25-a39f-4b9d-b5b8-55c1ef7f8c8e
92.0,Ich werde das Hotel auf jeden Fall weiterempfehlen. Es ist sehr sauber und das Personal sehr freundlich.,b24e97ae-38dd-411c-8a22-9ca472177dbf,ef80e99c-55b6-438e-affe-ca06c82f921b
90.0,More a 4 Star Hotel…but very friendly staff!,532e4af4-fad7-496a-8bff-cb541109a727,3085a2eb-df03-4a01-b493-dcf1fdb1f32d
84.0,Great location  very friendly check-in  24h check-in. Cute room and fresh air with two windows. Chocolate at reception for welcome.,f51299c6-0e02-4965-96c5-bf6ad20bc639,887b2835-2b53-4fe7-9ff0-9170c51e3080
82.0,Schönes Zimmer  super Lage. Genau richtig für ein 4 Tagestrip. Gerne wieder 👍🏼,6d199fe4-7482-4f5d-8df0-fdeecde1accf,fe063b57-de22-46c8-aa63-d460a607b7f8
86.0,Das Hotel ist wirklich empfehlenswert. Wir waren für 6 Tage dort. Als wir ankamen wurden wie sehr freundlich empfangen. Selbst mit gebrochenem Französisch war das kein Problem. Die Zimmergröße ist vollkommen ausreichend. Es wurde jeden Tag äußerst gründlich gereinigt und jeden Tag wurden die Handtücher gewechselt. Sogar die Bettwäsche wurde für diesen kurzen Zeitraum 1x gewechselt. Das Frühstücksbuffet war ausreichend: Baguettes & Croissants sowie Obst & Gemüse frisch  verschiedene Teesorten und ein Kaffeevollautomat sorgen für einen guten Start in den Tag. Und das Servicepersonal stets freundlich. Das Hotel ist in der Nähe von 2 Metrostationen und ca. 300m von Moulin Rouge entfernt und evtl. 800m von Sacre Coeur. Man weiß also  was einem erwartet. Dennoch ist es eine tolle Gegend  mit vielen kleinen Bistros und Geschäften. Einziger Abzug: morgens wird es durch die Müllabfuhr und der Straßenreinigung etwas laut. Aber man will ja auch nicht zu lange schlafen  wenn man schon mal in Paris ist ;-),c07cb693-3fdb-4882-b5fb-bfed3f141d28,677146dd-49a8-4b8e-9391-81c1f2b59466
90.0,Unterkunft ist in Ordnung  allerdings ein bisschen teuer dafür  dass keinerlei Service geboten wird.,8f203952-86cc-4f18-ac30-e8f8d019ba92,9446bd42-6122-48c2-9105-d07b4bf97481
78.0,Minus: Breakfast is very poor and spartan and not a buffet as shown on pictures and condition of hotel and room - is really worn out. We put a special local food in frigde and after roomcleanning it was gone/stolen. We told reception and the respons was: Sorry. No compensation or further action was taken. Unfortunately we met other guests at the hotel who really was disappointed Postive: staff was friendly,e9d7fe65-6ff2-419d-93f3-342be61e04e8,635caff3-c961-49b4-82d6-a0d21eea3a5d
92.0,Das Hotel ist klein und fein. Es ist modern und stilvoll eingerichtet und befindet sich mitten in Montmartre mit unzähligen Restaurants und Imbissen in der Nähe. Auch die Metro liegt fußläufig. Das Personal war super freundlich  insbesondere der Geschäftsführer. Das Frühstück war in Ordnung  ab 9:30 aber z.T. nicht mehr schön aufgefüllt.,ba33152e-ff4d-4edb-95ff-c1c0e6852e3b,8ac54c8d-0d5d-4e97-be96-78d9399daef2
92.0,Ich werde das Hotel auf jeden Fall weiterempfehlen. Es ist sehr sauber und das Personal sehr freundlich.,251a853b-2eed-40b5-b5ec-190f256ca237,a7c8cd27-93ae-4899-90e1-16309630f8c3
82.0,Gute Lage,eb7cc6d4-d934-4b53-ad68-b8d55a9d6475,17cc823a-6722-4ba9-bc14-d7f652e86cf3
94.0,.,c30bc93e-235d-4f2b-86fe-c7e0bd6aac5d,21620c3e-e3ef-4224-8043-42b52744cf2f
90.0,Sehr kleines  gepflegtes Hotel in einer schönen Gegend von Paris  mit sehr netten Restaurants und Möglichkeiten zu Unternehmungen. Sehr persönlich geführtes Hotel  sehr zweckmäßig und gut eingerichtete Zimmer  zwar klein  aber sehr funktionell. Überaus freundliches Personal  Kaffeemaschine an der Rezeption immer Wasser auf dem Zimmer,19a89ad7-bb04-4b9d-bea9-fc353baf36ad,0a669e8e-169b-4756-b2d9-9368a6dbfdad
86.0,WUNDERSCHÖN WAR ES es liegt sehr zentral  Metro gleich zu erreichen,e1dc1d51-76e2-4904-bde9-75c653c8cc33,df95e7a5-e1ae-42da-8d3c-0737a8ac0a48
84.0,Sehr zentral  Parkhaus direkt gegenüber für knapp 40€/24 Std. (sollte man dazu berechnen). 5min. Fußweg zur Notre Dame. Essen kann die ganze Nacht lang über Uber Eats bestellt werden  muss man aber an der Rezeption abholen  kein Zimmerservice. An den Betten keine Steckdose  Minuspunkt! Preis-Leistung ist niemals gerechtfertigt  Hotel verdient von der Lage.,c4679613-3ff7-4cf4-a6e7-a2e620cf1911,8be31a8f-ea09-453e-a68c-d10f7225964d
86.0,Alles okay!,5e0664ea-a0d6-4ded-819f-ce18e29b0467,38613a07-5497-4849-9017-8815d55e9355
